day,id,reason
5942,147,dehydration
5943,4588,dehydration
5955,183,dehydration
5957,1960,dehydration
5958,1092,dehydration
5967,207,dehydration
5967,2762,dehydration
5967,4600,dehydration
5988,3123,dehydration
5990,771,dehydration
5991,4334,dehydration
5995,1469,dehydration
6001,517,dehydration
6003,56,dehydration
6007,2917,dehydration
6008,888,dehydration
6009,887,dehydration
6046,3664,dehydration
6051,22,dehydration
6060,2665,dehydration
6063,2864,dehydration
6064,1454,dehydration
6082,2295,dehydration
6105,2050,dehydration
6120,261,dehydration
6132,494,dehydration
6135,4731,starvation
6145,604,dehydration
6146,4507,starvation
6149,4227,dehydration
6154,1406,dehydration
6266,629,dehydration
6402,4734,dehydration
6442,556,dehydration
6506,472,dehydration
6549,2116,dehydration
8025,1311,dehydration
8046,2125,dehydration
8102,5572,dehydration
8123,7105,dehydration
8153,3624,dehydration
8349,7345,dehydration
8420,4568,dehydration
8433,4352,dehydration
8441,5456,dehydration
8505,4271,dehydration
8510,5856,dehydration
8548,238,dehydration
8584,3018,dehydration
8682,5975,dehydration
8732,1750,dehydration
8733,6008,dehydration
8758,4523,dehydration
8764,8497,dehydration
8864,4180,dehydration
8874,70,dehydration
8875,7192,dehydration
8899,1259,dehydration
8918,2672,dehydration
8940,8202,dehydration
8949,3169,dehydration
8961,68,dehydration
8961,4988,dehydration
8963,3020,dehydration
8968,1827,dehydration
8996,5560,dehydration
9015,4852,dehydration
9024,6975,dehydration
9038,7636,dehydration
9054,3995,dehydration
9100,3170,dehydration
9132,5439,dehydration
9161,956,dehydration
9169,210,dehydration
9183,3183,dehydration
9215,5702,dehydration
9222,9099,dehydration
9249,9222,dehydration
9327,4992,dehydration
9331,6123,dehydration
9332,5728,dehydration
9386,1208,dehydration
9420,4317,dehydration
9431,612,dehydration
9450,7640,dehydration
9454,9287,dehydration
9487,3353,dehydration
9519,946,dehydration
9538,9175,dehydration
9545,221,dehydration
9558,2751,dehydration
9627,698,dehydration
9633,5888,dehydration
9672,1319,dehydration
9680,6525,dehydration
9683,4536,dehydration
9685,320,dehydration
9691,10436,dehydration
9705,7924,dehydration
9720,35,dehydration
9724,10686,dehydration
9742,3967,dehydration
9745,9967,dehydration
9752,6528,dehydration
9754,7789,dehydration
9760,6304,dehydration
9796,11092,dehydration
9806,982,dehydration
9821,44,dehydration
9821,11107,dehydration
9826,5352,dehydration
9846,1793,dehydration
9880,11285,dehydration
9882,10888,dehydration
9914,6667,dehydration
9921,734,dehydration
9945,5132,dehydration
9954,10342,dehydration
9973,11027,dehydration
9975,2420,dehydration
10004,9315,dehydration
10011,11615,dehydration
10080,10798,dehydration
10093,10531,dehydration
10100,579,dehydration
10119,10211,dehydration
10120,5382,dehydration
10132,3929,dehydration
10150,10656,dehydration
10201,4304,dehydration
10206,8376,dehydration
10212,9953,dehydration
10255,6794,dehydration
10292,5046,dehydration
10327,12204,dehydration
10332,10875,dehydration
10389,313,dehydration
10405,9193,dehydration
10434,8105,dehydration
10454,2343,dehydration
10457,3524,dehydration
10476,7851,dehydration
10486,2772,dehydration
10494,8450,dehydration
10498,6588,dehydration
10505,585,dehydration
10533,5703,dehydration
10542,11409,dehydration
10546,3177,dehydration
10565,5945,dehydration
10576,9188,dehydration
10579,13040,dehydration
10589,8305,dehydration
10592,5674,dehydration
10600,570,dehydration
10602,3656,dehydration
10604,13089,dehydration
10618,839,dehydration
10639,2898,dehydration
10682,6720,dehydration
10697,2938,dehydration
10702,10351,dehydration
10756,8266,dehydration
10761,11603,dehydration
10763,8873,dehydration
10765,9071,dehydration
10776,10096,dehydration
10784,3120,dehydration
10828,11278,dehydration
10831,2384,dehydration
10837,11903,dehydration
10854,11972,dehydration
10860,12881,dehydration
10887,3006,dehydration
10905,8492,dehydration
10912,12783,dehydration
10927,3239,dehydration
10931,6620,dehydration
10944,11091,dehydration
10999,6283,dehydration
11003,625,dehydration
11013,7730,dehydration
11079,6821,dehydration
11082,9356,dehydration
11085,13456,dehydration
11121,14135,dehydration
11150,12577,dehydration
11152,8452,dehydration
11153,13133,dehydration
11155,14132,dehydration
11181,14356,dehydration
11184,9929,dehydration
11207,12763,dehydration
